t_hours,a,e,i,omega,raan,v
1.3166666666666667,7052732.569091078,0.0016147604781392363,1.7138233665118265,-4.252197367015528,2.6250753356979364,3.0039959648751733
1.3333333333333333,7053491.888358863,0.0015286494464387713,1.7138156021103501,-4.157517842582667,2.6250965391607783,2.9730724068611485
1.35,7054358.0437905835,0.0014304248388002621,1.7138067497670793,-4.060582855301758,2.6251166702859097,2.9398948357840387
1.3666666666666667,7055316.871808307,0.0013217007903315136,1.713796955197932,-3.9606754855888147,2.6251355942961134,2.903746519338303
1.3833333333333333,7056352.46208148,0.001204315762125862,1.713786381829964,-3.8568212714150336,2.6251531934902963,2.863653159974087
1.4,7057447.679322879,0.0010802893337736594,1.713775205390412,-3.7476268856340362,2.62516937461511,2.8182215704474904
1.4166666666666667,7058584.777252781,0.0009517767289463766,1.7137636075743001,-3.631015870794328,2.6251840737372856,2.7653754082940463
1.4333333333333333,7059745.659206103,0.000821091135827279,1.7137517733407552,-3.503770542751676,2.6251972542698314,2.701897079277198
1.45,7060911.898307642,0.000690812864444778,1.7137398906778436,-3.3606485807152193,2.6252089031324592,2.622544326686584
1.4666666666666666,7062064.905721456,0.0005640036216464071,1.713728148871843,-3.192582471506318,2.625219029903231,2.518249674883527
1.4833333333333334,7063186.131378139,0.0004447099989855911,1.7137167364632393,-2.9829660244050857,2.625227666503232,2.3724069436686905
1.5,7064257.203070093,0.0003392070706279341,1.7137058398486902,-2.700652926474384,2.6252348664008736,2.1538698029385066
1.5166666666666666,7065260.352598908,0.00025862744623194835,1.7136956389811677,-2.295124410374333,2.6252407056671774,1.8121194403727854
1.5333333333333334,7066179.014701119,0.00022027673147882954,1.7136863013362662,-1.745277169696354,2.6252452838517777,1.326052478138062
1.55,7066998.071531567,0.00023247337223449772,1.7136779795013897,-1.1849257864339127,2.625248721794914,0.8294834023734907
1.5666666666666667,7067703.946004593,0.0002771913891023551,1.7136708103087153,-0.7597204583092495,2.6252511587989726,0.4680622922026071
1.5833333333333333,7068284.994873963,0.0003318113649953685,1.7136649109263506,-0.4565550542056862,2.6252527509915042,0.228682877354083
1.6,7068731.850716304,0.0003839142271235661,1.7136603754692734,-0.2233949243645319,2.6252536688264616,0.0593103516218785
1.6166666666666667,7069037.362923837,0.00042787296404213685,1.7136572756732749,-0.026608353714016625,2.6252540933859763,-0.07368717059540815
1.6333333333333333,7069196.491758921,0.00046119058220217427,1.713655662030003,0.15259110339830564,2.6252542132280507,-0.18909631712580457
1.65,7069206.394694248,0.0004829686438425015,1.7136555629543273,0.32555051002289487,2.6252542218624337,-0.2982643425951485
1.6666666666666667,7069066.624668204,0.0004933777539369366,1.7136569827991888,0.5002566957551674,2.6252543150399026,-0.40917827493605646
1.6833333333333333,7068779.449890132,0.0004935551836192557,1.713659898618094,0.6833720580719349,2.6252546873113314,-0.528500713203731
1.7,7068349.980577066,0.0004856885362472011,1.71366425886468,0.8812259569046174,2.625255527889293,-0.6625612175647607
1.7166666666666666,7067785.71582606,0.0004731527867624924,1.7136699879539403,1.1000219485810683,2.6252570174058802,-0.8175635390012503
1.7333333333333334,7067096.054736319,0.00046064833124029563,1.7136769911701566,1.3448709132371106,2.625259325961007,-0.9986187442575897
1.75,7066292.377675256,0.0004541430861814837,1.7136851537777478,1.617038804302938,2.6252626101891128,-1.20699296342101
1.7666666666666666,7065388.075353314,0.00046010731750387136,1.713694340652485,1.9101132189848387,2.625267009849593,-1.436273957463823
1.7833333333333334,7064397.994411535,0.0004837832947275349,1.7137044018337686,2.2089030709545234,2.6252726469268306,-1.6712707882104305
1.8,7063338.042063369,0.0005273827719282945,1.713715176466952,2.4949551126415876,2.6252796251227495,-1.8935303395474046
1.8166666666666667,7062225.355298415,0.0005896893959430379,1.713726491015915,2.755064173122939,2.6252880260839966,-2.0898475543583794
1.8333333333333333,7061078.223547674,0.000667223138092341,1.7137381599875363,2.984843617995263,2.6252979059994854,-2.2558358921257557
1.85,7059915.4141334845,0.0007557408170331671,1.7137499927446986,3.1863556720793476,2.6253092969799123,-2.3935576495821813
1.8666666666666667,7058755.623249924,0.0008511481453432566,1.713761799067243,3.3643191336211795,2.625322209351933,-2.5077316747408154
1.8833333333333333,7057617.419191938,0.000949792465111592,1.7137733897249383,3.5236836108198375,2.6253366299942256,-2.6033076041995127
1.9,7056519.226439773,0.001048465859536396,1.7137845766501827,3.668673789117465,2.6253525190297697,-2.6845101305917183
1.9166666666666667,7055478.993372756,0.0011443546970565299,1.7137951763504027,3.802623663531863,2.62536980954221,-2.7546732345526936
1.9333333333333333,7054513.670751386,0.0012350051024592793,1.7138050152695739,3.9280977915531925,2.625388411160488,-2.816361437782569
1.95,7053638.809196345,0.0013182927999677283,1.7138139339552156,4.04706763215032,2.6254082142524675,-2.871546143388664
1.9666666666666666,7052868.427986544,0.0013923821955857528,1.7138217884695415,4.161062768468998,2.6254290903760404,-2.9217568608571542
1.9833333333333334,7052214.954190295,0.0014556961775844858,1.71382845108743,4.2712839969519525,2.62545088976857,-2.968194297521326
2.0,7051688.946360156,0.0015069255692590259,1.7138338131931354,4.378691431953132,2.6254734430332243,-3.0118184650207227
